date,pa unemployment,isPartial
2017-01-01,11,False
2017-01-08,10,False
2017-01-15,10,False
2017-01-22,9,False
2017-01-29,9,False
2017-02-05,8,False
2017-02-12,8,False
2017-02-19,7,False
2017-02-26,6,False
2017-03-05,5,False
2017-03-12,6,False
2017-03-19,7,False
2017-03-26,7,False
2017-04-02,7,False
2017-04-09,7,False
2017-04-16,6,False
2017-04-23,7,False
2017-04-30,6,False
2017-05-07,5,False
2017-05-14,6,False
2017-05-21,6,False
2017-05-28,6,False
2017-06-04,6,False
2017-06-11,6,False
2017-06-18,6,False
2017-06-25,7,False
2017-07-02,6,False
2017-07-09,6,False
2017-07-16,6,False
2017-07-23,6,False
2017-07-30,6,False
2017-08-06,6,False
2017-08-13,5,False
2017-08-20,6,False
2017-08-27,5,False
2017-09-03,6,False
2017-09-10,5,False
2017-09-17,5,False
2017-09-24,5,False
2017-10-01,5,False
2017-10-08,5,False
2017-10-15,5,False
2017-10-22,5,False
2017-10-29,5,False
2017-11-05,5,False
2017-11-12,6,False
2017-11-19,6,False
2017-11-26,6,False
2017-12-03,6,False
2017-12-10,7,False
2017-12-17,8,False
2017-12-24,9,False
2017-12-31,9,False
2018-01-07,10,False
2018-01-14,9,False
2018-01-21,9,False
2018-01-28,7,False
2018-02-04,7,False
2018-02-11,7,False
2018-02-18,8,False
2018-02-25,6,False
2018-03-04,7,False
2018-03-11,5,False
2018-03-18,6,False
2018-03-25,6,False
2018-04-01,6,False
2018-04-08,6,False
2018-04-15,6,False
2018-04-22,5,False
2018-04-29,5,False
2018-05-06,5,False
2018-05-13,5,False
2018-05-20,4,False
2018-05-27,4,False
2018-06-03,5,False
2018-06-10,5,False
2018-06-17,6,False
2018-06-24,6,False
2018-07-01,6,False
2018-07-08,6,False
2018-07-15,6,False
2018-07-22,5,False
2018-07-29,5,False
2018-08-05,5,False
2018-08-12,4,False
2018-08-19,4,False
2018-08-26,4,False
2018-09-02,4,False
2018-09-09,4,False
2018-09-16,4,False
2018-09-23,4,False
2018-09-30,4,False
2018-10-07,4,False
2018-10-14,4,False
2018-10-21,4,False
2018-10-28,4,False
2018-11-04,5,False
2018-11-11,5,False
2018-11-18,5,False
2018-11-25,6,False
2018-12-02,6,False
2018-12-09,6,False
2018-12-16,7,False
2018-12-23,6,False
2018-12-30,7,False
2019-01-06,8,False
2019-01-13,6,False
2019-01-20,8,False
2019-01-27,7,False
2019-02-03,7,False
2019-02-10,9,False
2019-02-17,7,False
2019-02-24,5,False
2019-03-03,5,False
2019-03-10,5,False
2019-03-17,5,False
2019-03-24,4,False
2019-03-31,5,False
2019-04-07,4,False
2019-04-14,4,False
2019-04-21,5,False
2019-04-28,4,False
2019-05-05,4,False
2019-05-12,4,False
2019-05-19,4,False
2019-05-26,5,False
2019-06-02,5,False
2019-06-09,4,False
2019-06-16,5,False
2019-06-23,6,False
2019-06-30,5,False
2019-07-07,6,False
2019-07-14,5,False
2019-07-21,5,False
2019-07-28,5,False
2019-08-04,5,False
2019-08-11,5,False
2019-08-18,5,False
2019-08-25,5,False
2019-09-01,4,False
2019-09-08,4,False
2019-09-15,4,False
2019-09-22,5,False
2019-09-29,4,False
2019-10-06,4,False
2019-10-13,5,False
2019-10-20,4,False
2019-10-27,4,False
2019-11-03,5,False
2019-11-10,8,False
2019-11-17,5,False
2019-11-24,5,False
2019-12-01,6,False
2019-12-08,6,False
2019-12-15,6,False
2019-12-22,6,False
2019-12-29,8,False
2020-01-05,8,False
2020-01-12,8,False
2020-01-19,7,False
2020-01-26,6,False
2020-02-02,5,False
2020-02-09,5,False
2020-02-16,5,False
2020-02-23,5,False
2020-03-01,5,False
2020-03-08,6,False
2020-03-15,50,False
2020-03-22,56,False
2020-03-29,82,False
2020-04-05,81,False
2020-04-12,100,False
2020-04-19,95,False
2020-04-26,83,False
2020-05-03,70,False
2020-05-10,73,False
2020-05-17,60,False
2020-05-24,64,False
2020-05-31,58,False
2020-06-07,58,False
2020-06-14,64,False
2020-06-21,62,False
2020-06-28,70,False
2020-07-05,65,False
2020-07-12,54,False
2020-07-19,58,False
2020-07-26,52,False
2020-08-02,43,False
2020-08-09,69,True
